Gene,transcript_length,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
Atp11b,4859,7001,4824,6159,7340,6736,5888,8054,6368,6884,6942,7198,6214,8664,7417
Gm7741,989,7,4,2,0,0,2,0,8,6,2,4,2,0,2
Dcun1d1,4563,4142,2866,2869,3238,3074,3693,4160,2884,3152,2901,3135,2990,4174,2728
Dcun1d1,780,926,610,645,651,734,842,926,631,739,658,689,704,942,669
Gm15952,839,49,58,64,49,46,59,77,59,50,34,52,68,50,36
Mccc1,2977,2107,1331,1578,1774,1707,1887,2230,1738,1684,1688,1805,1422,2218,1562
Mccc1os,7442,363,206,222,273,254,319,350,252,304,282,304,250,443,269
Ccdc144b,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acad9,3913,3564,2947,3158,4015,3225,3478,4464,3169,3553,3366,3718,3262,4260,3173
D3Ertd254e,6503,2603,2340,2444,3214,2809,2951,3667,2646,2953,3026,2840,2587,3300,2833
Qrfpr,1800,248,178,248,256,153,309,166,153,232,189,148,301,321,183
Anxa5,1721,6286,3966,3959,4829,4484,7306,9273,6825,6250,6211,6614,4686,6892,4733
Mir7009,64,3,2,0,0,4,1,3,0,3,4,2,3,5,3
1810062G17Rik,911,19,4,4,8,8,12,14,6,3,0,7,6,13,4
Gm11548,2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11549,2831,690,1290,1319,1036,2025,2169,1206,746,1855,957,1007,1089,1919,1338
Gm11550,699,0,0,0,7,0,2,0,0,0,1,1,0,0,3
Exosc9,4711,2489,965,1464,1176,1421,2087,1670,1042,1469,1168,1257,1568,2830,1167
Ccna2,3510,793,204,413,253,358,536,379,270,333,352,301,428,864,264
Bbs7,3957,1275,944,1081,1476,1500,1539,1662,1276,1323,1407,1377,1084,1703,1285
Trpc3,5419,1694,955,1207,1506,1531,1200,1534,954,1209,1195,1257,1375,1740,1279
Gm12377,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12376,607,0,0,0,0,0,0,0,0,0,2,0,2,0,0
4932438A13Rik,26985,16303,13791,15175,19014,18919,18088,21457,15920,19387,18787,17561,16094,21125,20035
Gm12531,487,450,381,397,490,546,475,702,526,573,597,607,430,489,491
Adad1,3264,0,5,0,3,0,4,0,2,2,2,0,0,0,2
Gm12582,697,17,7,22,15,20,14,35,16,16,10,12,16,12,15
Gm12583,853,5,1,2,3,3,6,2,1,1,1,3,1,5,2
Gm12584,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il2,1144,58,44,42,44,57,49,71,46,54,43,55,40,46,41
Gm12532,2684,53,2,10,0,2,20,0,0,1,0,0,10,34,2
Gm13621,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il21,3160,2,26,3,16,7,14,11,24,10,17,9,7,6,18
Gm12534,469,0,0,0,0,1,3,3,2,2,2,0,1,0,0
Gm24169,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cetn4,4032,563,239,331,266,252,489,342,249,281,273,249,349,662,228
Fgf2,1801,218,186,183,276,191,235,295,268,257,256,216,199,282,203
Bbs12,2436,435,244,245,244,247,331,304,305,279,287,297,276,433,229
Gm12540,319,20,8,17,8,26,9,1,6,15,12,16,7,27,5
Fgf2os,1441,33,22,31,46,59,33,34,50,37,41,64,23,24,49
Nudt6,1635,340,193,250,284,217,324,340,309,295,277,267,209,355,210
Spata5,3788,991,851,788,997,985,1096,1277,921,975,964,1008,991,1258,836
Gm12564,321,2,0,2,0,4,0,0,2,1,2,0,8,4,3
Gm12565,649,1,1,3,5,6,4,2,1,2,2,2,1,0,5
4930594O21Rik,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spry1,2906,612,509,572,736,720,673,939,711,668,733,761,629,793,626
Gm5148,3901,2096,1196,1657,1305,1711,1841,2034,1495,1414,1372,1599,1508,1987,1141
Rps23-ps,425,1641,1194,1462,1294,1704,1654,2025,1488,1409,1363,1578,1337,1520,1127
Rpl31-ps15,375,11,27,19,20,21,17,43,36,15,21,25,28,2,21
Gm26404,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7799,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22899,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl21-ps10,483,4,4,2,4,2,6,3,3,2,2,5,3,2,2
Gm25574,249,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ankrd50,8488,5480,3800,4704,5809,5570,5797,5792,4497,5275,5143,5315,4791,7578,4919
Gm24462,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C230034O21Rik,2836,412,442,517,573,294,505,493,485,446,450,473,460,684,462
Fat4,17165,2457,2207,2848,2853,1399,2512,3294,2681,2700,3246,2792,2269,3339,3100
Gm9845,1735,22,27,25,37,35,24,41,31,39,43,33,23,42,28
n-R5s195,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23796,160,0,0,0,0,0,0,4,0,2,2,0,0,0,0
Gm23831,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700017G19Rik,2900,12,34,34,27,13,3,66,32,22,25,58,28,17,34
Gm23810,74,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Intu,7429,1125,884,1017,1083,1117,1176,1343,995,1205,1229,1155,897,1561,1078
Gm16114,300,1,2,5,5,3,0,1,1,5,2,2,0,0,0
Slc25a31,1625,1,8,2,12,7,31,2,14,16,4,2,2,8,0
Hspa4l,11792,24726,16938,19372,24483,17619,19555,26640,18436,20264,21080,21263,19379,28764,21272
Plk4,5863,404,337,328,509,557,443,645,479,459,510,525,408,593,454
Mfsd8,3184,1385,794,1080,1450,1392,1166,1333,983,1088,1112,1071,985,1575,1072
3110057O12Rik,5433,1489,1024,1240,1416,1481,1312,1770,1175,1384,1475,1427,1146,1733,1453
Gm10731,448,4,2,2,1,3,5,2,1,2,1,2,1,3,2
6430590A07Rik,1032,184,86,126,125,111,69,59,74,69,87,86,79,204,87
1700034I23Rik,2348,50,24,33,43,28,26,54,41,33,35,35,36,31,45
Larp1b,7216,971,625,651,913,769,988,1007,735,840,819,846,750,1215,822
Gm22043,158,1,0,0,0,2,0,0,0,1,1,2,2,2,3
Pgrmc2,3242,6266,4678,5373,7056,5922,6505,8656,6050,6998,6710,6559,6089,8165,6123
Gm25487,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C430002E04Rik,986,0,2,0,2,0,2,0,0,0,0,0,0,0,0
Jade1,8492,4893,3400,4509,4965,5009,4503,5773,3932,4412,4363,4438,3972,5797,4315
RP24-86C19.2,656,66,46,55,79,69,58,60,44,48,41,56,53,73,45
Sclt1,7569,1288,677,1020,932,1095,1037,1182,952,840,951,989,790,1430,1051
RP24-86C19.3,1133,8,7,11,7,9,7,9,9,10,4,10,9,13,7
D3Ertd751e,5813,1936,1059,1306,1511,1355,1631,2048,1498,1449,1486,1592,1337,2057,1286
RP23-182B7.1,2614,41,30,32,19,17,37,38,26,31,53,34,17,37,28
RP24-400J22.1,1897,36,23,15,30,23,28,26,11,23,22,25,18,24,31
RP24-400J22.2,1789,36,23,15,29,23,28,25,11,23,22,25,18,22,31
RP23-300L15.1,3774,107,82,88,89,114,91,127,92,94,111,92,76,113,92
RP23-116C1.1,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-406M9.1,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-406M9.2,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-55M9.1,457,0,0,1,0,0,0,0,0,1,0,0,0,0,0
RP23-331D18.1,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-149G20.1,1110,491,207,345,313,370,325,271,362,391,275,374,169,292,350
RP24-205J15.1,529,0,2,3,3,2,1,0,1,0,2,0,0,0,0
Gm25714,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-182A1.1,346,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP23-182A1.2,198,20,10,17,14,13,8,20,11,13,11,12,17,24,18
RP23-25G5.1,409,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RP24-110K11.1,3250,58,36,59,43,53,43,44,38,50,65,50,44,66,53
RP24-110K11.2,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24997,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27989,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-53G15.1,2581,63,45,80,79,136,98,120,85,78,94,112,53,106,47
RP23-370F14.3,1544,135,117,184,185,177,136,217,149,152,168,228,135,204,143
2610316D01Rik,1209,278,201,291,275,305,259,253,208,188,235,288,259,317,235
RP23-370F14.2,250,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcdh10,15888,14811,12925,14834,17395,23430,16189,20872,15116,17863,16910,17641,15558,20860,15818
1700027H10Rik,584,471,420,438,579,838,531,662,518,580,608,586,555,676,571
RP23-388A19.5,2577,335,275,347,351,343,256,457,296,302,363,273,290,410,344
RP23-388A19.4,3138,108,111,185,166,101,110,161,85,119,116,79,113,141,132
RP23-468J10.1,361,0,1,1,0,0,0,0,1,0,5,1,1,0,1
RP23-290N20.2,471,59,39,52,41,51,45,71,42,51,33,40,61,73,42
RP23-290N20.1,259,0,0,2,0,0,0,0,3,2,0,0,7,1,2
Gm25796,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23337,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26081,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-257N17.1,719,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Pabpc4l,5506,42,43,30,35,36,53,94,42,34,42,73,64,69,54
RP24-93J4.1,242,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Mir6379,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10356,1258,142,99,107,123,94,106,120,94,110,109,131,107,135,127
Gm5274,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23891,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl23a-ps5,466,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP24-369B15.2,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-268K12.1,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-167C2.1,748,0,2,0,1,1,0,1,0,1,0,0,0,0,0
RP24-174C13.1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018B24Rik,593,0,2,2,0,0,3,2,0,0,2,2,0,4,0
RP24-234L7.1,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23511,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-257B11.1,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-396C13.1,1065,0,0,0,0,0,0,0,0,0,0,5,0,0,0
RP23-396C13.2,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-290N20.3,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-404C21.2,1414,241,175,218,261,233,206,314,198,213,214,222,225,246,214
Gm22480,128,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RP24-550N13.1,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-550N13.2,316,0,1,0,0,0,0,0,1,0,0,0,0,0,0
RP24-550N13.3,241,5,0,2,1,1,0,2,0,0,1,1,1,1,0
RP24-283F19.1,535,2,1,1,0,1,0,0,1,0,0,1,0,0,0
RP24-283F19.2,421,0,0,0,0,0,1,0,0,0,0,1,0,1,1
Gm23096,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-111E3.1,450,84,25,77,50,70,46,57,44,56,67,42,51,68,80
Pcdh18,5366,684,464,660,813,481,812,944,647,565,703,846,647,1011,609
RP24-111E3.3,463,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Slc7a11,13922,7378,5266,6880,6985,5642,8284,9751,6883,6843,9152,9482,6085,10726,4873
RP23-80A8.1,1463,25,9,29,20,8,6,10,16,13,23,18,24,14,21
RP23-80A8.2,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-235F22.1,232,0,0,0,0,0,1,1,0,0,0,0,0,1,0
RP24-377J3.1,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-242E11.1,4002,16,6,10,6,6,4,9,9,5,13,3,6,2,8
RP24-295G1.1,3685,10,16,13,104,5,13,6,9,18,6,6,74,25,18
RP24-295G1.2,1332,7,4,6,1,4,6,5,2,0,8,10,8,8,0
RP23-264F2.3,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-264F2.1,4065,0,4,0,3,1,6,4,0,0,1,2,6,0,0
RP23-264F2.2,3704,2,0,2,4,0,0,2,0,0,0,0,0,0,0
Gm24503,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH25-367I5.1,3814,10,2,6,69,4,116,136,1,0,2,5,68,10,80
RP24-313N2.2,2639,0,0,2,4,6,2,5,7,1,4,12,1,2,3
RP24-313N2.3,1276,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Gm29230,412,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP24-88F2.2,1511,99,57,95,31,83,72,81,64,72,82,52,73,85,92
Ccrn4l,10658,19852,7997,14511,18516,14761,12325,17213,13407,16051,13740,14521,14595,19776,18178
RP24-88F2.3,2464,119,57,88,79,74,69,42,64,53,50,89,36,107,66
Elf2,9563,2570,1920,2338,2661,2356,2777,3617,2418,2597,2638,2555,2233,3020,2434
4930577N17Rik,1625,148,127,149,174,171,150,160,156,117,125,144,158,159,129
Gm24282,66,0,0,0,0,0,2,3,0,1,0,0,3,5,4
RP23-172P6.1,416,1,5,3,7,3,3,1,5,4,1,14,5,3,12
RP23-403H2.1,385,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RP23-403H2.2,1437,0,0,0,0,0,4,2,0,0,4,0,2,0,2
Mgarp,2067,52,16,26,10,6,24,34,22,7,20,16,21,10,45
RP23-403H2.3,319,28,5,16,17,12,27,26,7,5,10,16,9,31,19
Ndufc1,1495,2956,2376,2554,3116,2737,2951,3709,2851,2643,2612,3176,2497,3006,2313
Naa15,15427,5893,4408,5174,6166,5696,5839,7492,5314,6285,5761,5766,5269,7310,5671
RP23-403H2.5,111,2,0,5,0,2,1,6,3,0,0,1,0,0,2
AC102860.3,2499,429,299,353,373,285,395,416,324,358,344,335,362,461,326
Rab33b,3538,2962,2154,2481,2784,2382,2627,3183,2364,2665,2554,2436,2358,3106,2240
RP24-511H12.4,3201,52,25,34,31,53,26,45,37,60,59,55,15,54,56
Setd7,10813,18536,12538,17737,18734,15581,17143,16901,12709,16671,15509,15962,13896,24262,16237
RP24-511H12.2,2111,17,23,12,9,27,20,14,22,23,15,17,11,26,23
5031434O11Rik,3731,602,249,480,369,315,465,351,323,306,317,363,276,687,336
RP24-511H12.8,313,2,2,0,1,3,0,0,1,0,0,0,0,0,0
RP24-511H12.6,542,0,0,0,0,0,3,4,0,0,0,0,2,0,1
RP24-511H12.7,433,1,2,1,4,5,2,7,2,3,3,4,2,1,2
Mgst2,3703,15,30,19,24,40,83,63,20,35,33,37,30,19,47
RP23-346I1.1,1101,4,4,2,6,9,10,9,3,11,2,2,0,2,11
Maml3,10486,906,774,885,765,1300,741,966,687,1034,982,907,698,884,699
Gm10729,1375,0,4,6,6,4,6,5,7,5,0,6,4,6,5
RP23-346I1.2,4965,12,8,14,5,15,10,14,11,8,21,14,12,21,31
RP23-346I1.5,732,15,3,11,2,5,2,2,3,8,13,2,10,6,8
n-R5s196,117,2,0,0,0,1,0,0,0,2,0,1,0,0,0
RP23-346I1.4,1021,0,8,2,0,8,8,5,8,11,4,2,7,2,5
RP24-378J8.3,1215,1,0,0,0,2,0,0,7,0,0,0,0,2,0
RP24-378J8.2,2847,0,2,0,0,0,2,0,4,0,0,0,2,0,2
RP24-378J8.1,2616,2,0,0,2,0,0,0,0,2,2,4,2,0,4
RP23-175G2.3,1831,4,3,4,2,2,4,2,0,4,2,2,2,6,3
RP23-175G2.1,2084,23,0,6,14,1,2,11,7,3,5,12,4,9,11
RP23-175G2.2,2217,26,2,10,8,4,2,9,8,4,2,9,4,8,12
RP23-175G2.4,619,4,8,2,8,2,4,6,5,2,0,6,4,2,0
RP23-380F8.3,3290,8,4,6,2,17,4,16,19,14,22,7,8,12,16
RP23-380F8.2,6960,72,24,30,19,33,25,34,48,31,26,22,17,29,26
RP23-380F8.1,1799,11,5,20,2,5,6,15,10,0,8,16,2,12,2
RP24-568B16.4,361,0,2,0,0,0,0,0,2,0,0,0,0,0,0
RP24-568B16.1,2541,2,1,2,0,1,0,0,0,0,3,6,1,0,1
RP24-568B16.2,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-568B16.3,1934,4,5,0,8,2,6,14,2,12,5,0,6,2,13
Olfr1398-ps1,808,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Foxo1,8665,2693,1942,2508,2876,5110,2813,3214,2599,2857,2882,2439,2183,3003,2457
Gm20402,687,303,219,322,375,597,366,366,306,287,276,287,229,342,262
RP24-337A16.2,2069,11,12,8,12,12,3,9,14,9,13,2,6,10,11
WI1-298L18.1,241,3,2,5,1,2,1,4,0,2,1,2,0,0,1
RP24-117F4.2,1128,2,2,0,0,10,0,4,0,4,3,9,7,6,7
Gm10293,1002,10,15,17,17,16,12,20,20,15,22,16,16,27,12
Gm22798,107,0,1,0,0,0,1,0,0,1,0,0,0,0,0
RP24-92E18.1,2058,1,1,0,2,0,6,4,3,3,6,3,0,0,4
RP24-92E18.2,3000,0,0,2,4,6,2,6,1,2,2,4,8,1,2
RP24-297E7.1,3515,0,0,0,0,0,2,0,0,0,4,1,3,0,2
RP23-256O22.1,319,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cog6,4957,4110,3002,3534,4354,4170,4082,4670,3317,4158,3792,3981,3352,5032,3573
Lhfp,2108,2809,1654,1753,2352,1583,2582,2837,2068,2469,2285,2579,2206,2756,2003
Nhlrc3,5601,1418,1033,1073,1566,1507,1659,2098,1638,1693,1783,1716,1376,1727,1250
Gm16206,1966,98,100,93,132,130,157,168,148,161,150,121,101,161,116
Proser1,5084,1555,1140,1536,1581,1815,1655,1796,1392,1619,1604,1631,1290,2125,1582
Stoml3,2076,61,103,16,91,152,272,92,56,52,77,85,25,96,64
Gm23675,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frem2,12347,1199,841,1016,1383,512,447,504,485,481,559,553,857,1457,329
Gm24851,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10985,81,0,3,0,0,1,0,0,0,1,0,0,0,0,0
Ufm1,4122,4735,3492,3927,4710,3957,4442,5348,3804,4257,4055,4290,3789,5420,3600
RP23-234G15.1,746,2,3,1,1,6,0,4,0,2,1,3,1,2,4
Trpc4,3472,1912,1423,1662,2091,1707,1742,2221,1592,2315,1767,1596,1509,2537,1729
Postn,7833,193,115,149,222,376,319,272,275,302,283,243,180,252,228
Gm5641,1495,36,20,30,30,30,24,38,26,25,42,37,25,42,27
Gm26678,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supt20,2112,1374,1021,1293,1485,1737,1465,1807,1398,1508,1556,1469,1198,1833,1513
Supt20,1968,1641,1127,1252,1580,1546,1536,1826,1437,1527,1556,1578,1270,1909,1587
Gm21958,648,176,110,134,137,170,169,183,167,154,177,166,169,208,181
Exosc8,3968,1185,772,1087,1220,1316,1178,1445,1169,1182,1167,1304,1052,1276,943
Alg5,3537,1222,995,978,1239,1074,1254,1637,1188,1136,1104,1269,1092,1262,915
Smad9,5368,2599,1584,1981,2357,1718,2078,3410,2300,2346,2465,2309,1976,2747,2005
Rfxap,2242,2436,1767,2260,2520,2167,2446,3138,2179,2374,2224,2292,2020,2715,2200
Gm10254,687,251,244,253,260,258,288,319,197,257,259,270,227,281,242
Sertm1,3215,3406,2645,3358,4329,1711,3675,4585,3253,4335,3728,3330,2900,4399,3217
Ccna1,1566,56,61,64,86,87,71,76,57,80,65,74,68,77,93
Spg20,5362,5013,3403,3991,5363,4121,4667,7179,4901,4452,5264,5651,4216,5527,4494
Ccdc169,3326,17,17,12,4,5,11,9,8,10,5,10,17,22,15
Gm22029,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sohlh2,2364,0,0,2,0,0,0,2,2,0,0,0,0,0,0
Dclk1,12991,51685,48492,54985,59250,69283,62089,58956,41152,62283,48950,48048,48867,74880,50635
Gm25132,107,1,0,7,0,0,0,6,2,2,0,4,0,2,6
Gm21954,51,674,604,670,682,966,714,589,438,738,505,523,582,854,579
Gm25404,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nbea,10976,26026,21740,25307,31208,28815,28049,31757,22519,29195,27649,25381,24948,36174,27981
Mab21l1,2776,1289,449,622,710,84,301,1190,824,389,603,575,483,640,542
Gm22784,132,2,3,3,2,0,1,4,2,1,4,0,2,4,1
Gm25727,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F830104G03Rik,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22269,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8177,1336,42,18,38,32,52,31,33,28,26,33,45,44,47,24
Tm4sf1,3355,973,844,670,833,718,1363,1655,1302,988,1135,1104,780,1164,971
Tm4sf4,1496,6,6,0,4,1,4,4,6,2,4,0,0,0,0
Wwtr1,4779,1659,1645,1370,1882,1843,1734,2397,1884,1700,1984,2058,1441,1797,1815
Gm16016,550,0,2,0,0,1,0,0,2,0,0,0,1,2,2
Mir6377,114,0,0,0,0,2,4,0,0,0,2,2,0,0,0
Gm26671,1157,4,2,11,3,8,11,13,12,8,7,5,3,10,7
Commd2,4757,1380,862,1035,1016,1146,1175,1308,954,1040,1002,1065,887,1432,920
Ankub1,2696,269,208,225,323,203,252,430,287,264,337,336,216,302,314
Rnf13,2676,16878,10670,11141,12145,10015,13931,18264,12701,11426,12454,13303,10545,14778,9763
Pfn2,3017,34373,27724,31088,35578,32422,33291,42018,27806,33925,31169,31860,29987,40272,28698
Gm24531,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5537,1661,0,5,0,3,0,1,1,0,1,1,0,1,2,3
1700007F19Rik,1642,29,32,31,33,29,9,15,32,31,23,14,24,31,26
Gm26166,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tsc22d2,8829,4033,2985,3707,3993,3428,3517,4924,3435,3789,3856,3723,3358,4808,3798
Serp1,2440,4535,3715,3592,4713,4089,4835,5858,4554,4560,4497,4990,3957,5257,3785
Eif2a,6118,3962,2842,2870,3319,3511,3751,4589,3142,3468,3434,3579,3056,3951,2766
Selt,3436,19012,14705,15279,19309,16783,18699,24960,17175,18732,19084,19194,16436,21961,16316
Erich6,2195,86,94,122,112,129,93,165,83,115,124,100,88,141,103
Siah2,2999,962,861,982,1124,1188,975,1279,958,975,867,1055,832,1158,1126
4930593A02Rik,1437,24,21,40,24,27,24,40,23,16,45,44,14,25,32
Fam188b2,2923,181,98,146,153,184,120,191,92,104,129,165,100,162,104
Clrn1,3857,128,66,98,122,28,151,189,131,141,159,131,77,154,124
Gm22491,102,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm25572,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10071,636,5,3,3,6,3,7,3,7,5,3,4,7,7,4
Gm27793,76,0,0,1,2,0,0,1,0,4,0,2,0,2,1
Med12l,10408,5410,3743,4575,5828,4922,4642,6898,4558,4883,5588,5449,4384,6549,5473
Gpr171,2225,20,8,23,14,16,19,14,19,23,29,16,13,17,29
P2ry14,1797,130,131,94,119,179,198,319,158,160,188,214,164,159,193
Gpr87,1080,6,2,7,2,4,2,2,7,7,3,6,5,11,5
P2ry13,2524,1241,926,903,1114,1279,1454,1746,1718,1855,1506,1576,1437,1574,1024
P2ry12,2379,3560,2887,3073,3611,4465,4033,5161,4037,4885,4595,4936,3808,3821,3202
Igsf10,10150,1553,1135,1422,1736,1501,1778,2877,2045,1928,2215,1911,1549,2291,1923
RP23-314I1.1,449,10,5,18,20,6,17,30,25,14,19,21,13,16,25
RP23-241H7.2,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-241H7.1,1812,13,6,19,18,18,16,20,23,16,16,12,9,18,15
RP23-241H7.5,1320,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RP23-241H7.3,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-241H7.6,1091,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm5709,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-161I8.1,2424,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Gm5538,1235,0,0,0,0,0,0,8,0,0,10,6,0,0,0
RP23-174P13.2,114,0,0,2,0,0,0,3,0,3,0,3,0,1,5
RP23-174P13.1,142,4,1,0,0,0,3,4,4,1,3,2,2,4,0
RP23-174P13.4,966,122,99,126,128,120,141,131,79,105,82,128,126,127,101
4930449A18Rik,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-174P13.5,400,1,2,2,0,0,0,1,1,1,1,1,2,4,2
Gm8298,1206,0,0,0,0,0,0,0,0,0,2,0,0,0,0
C130079G13Rik,2789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9696,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl2,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-290O13.2,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadac,1501,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sucnr1,1640,0,2,0,0,2,0,22,18,4,0,18,2,2,0
Gm24382,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mbnl1,18717,9896,6591,8088,9370,10458,9468,12870,9160,10068,10073,9984,8271,11674,9380
RP23-349H13.2,3994,49,24,19,14,27,11,40,22,31,26,21,21,30,34
RP24-303N8.3,3374,29,15,15,12,24,15,12,24,18,29,16,14,28,24
RP24-549O22.5,158,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RP24-549O22.3,569,3,0,0,1,8,2,6,2,2,4,2,3,0,2
RP24-549O22.4,686,0,0,0,0,2,0,0,0,0,0,0,0,2,0
RP24-549O22.1,379,0,0,1,1,1,2,0,4,0,0,0,0,0,1
Gm8325,464,210,148,201,187,190,225,257,165,199,180,234,183,250,170
RP24-159H19.2,2148,168,116,222,193,346,166,369,174,210,264,260,169,198,183
P2ry1,4291,573,339,579,640,1044,493,1144,618,633,761,748,537,770,596
RP23-20E4.2,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-20E4.1,495,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP23-390C13.3,3349,89,79,129,162,136,120,176,105,120,117,126,106,111,130
Rap2b,6793,4200,3622,4228,4960,5594,5316,5518,4015,5756,4513,4518,4384,6166,4613
B430305J03Rik,3702,2114,1917,2275,2620,2848,2809,2755,2108,2920,2199,2356,2344,3204,2443
Gm8349,1003,2,2,5,4,2,8,9,5,7,0,5,10,7,3
RP24-217M2.2,1617,5,0,0,1,2,0,0,0,0,0,0,0,0,0
RP24-217M2.1,359,419,290,331,262,356,173,290,313,264,345,260,242,325,383
RP23-83N21.1,3009,1115,777,973,1254,627,896,1282,1244,1117,1222,1136,903,1276,1001
Arhgef26,10116,4050,2923,3304,4232,2244,3467,4856,4375,4447,4395,4126,3195,4586,3827
Dhx36,10217,8458,6677,7049,8623,8177,8337,10174,7390,8166,7879,8321,7401,10446,7501
